date,close,open,high,low,volume,return
2018-01-02,4087.4,4045.21,4087.78,4045.21,146940.0,0.013999999999999999
2018-01-03,4111.39,4091.46,4140.05,4088.73,151850.0,0.0059
2018-01-04,4128.81,4114.12,4137.64,4105.89,134540.0,0.0042
2018-01-05,4138.75,4133.34,4151.28,4123.28,149010.0,0.0024
2018-01-08,4160.16,4140.85,4166.32,4127.31,173880.0,0.0052
2018-01-09,4189.3,4157.54,4191.28,4153.5,139030.0,0.006999999999999999
2018-01-10,4207.81,4187.2,4211.05,4175.14,151120.0,0.0044
2018-01-11,4205.59,4197.11,4211.8,4181.96,121580.0,-0.0005
2018-01-12,4225.0,4205.14,4227.39,4199.03,111360.0,0.0046
2018-01-15,4225.24,4229.84,4262.93,4216.36,170910.0,0.0001
2018-01-16,4258.47,4215.62,4260.21,4213.13,161500.0,0.0079
2018-01-17,4248.12,4261.78,4283.34,4230.54,214310.0,-0.0024
2018-01-18,4271.42,4259.38,4292.64,4246.68,172030.0,0.0055000000000000005
2018-01-19,4285.4,4281.94,4316.57,4269.62,209490.0,0.0033
2018-01-22,4336.6,4276.48,4338.48,4275.9,174640.0,0.011899999999999999
2018-01-23,4382.61,4346.89,4383.57,4346.79,201870.0,0.0106
2018-01-24,4389.89,4389.45,4397.82,4349.09,219820.0,0.0017000000000000001
2018-01-25,4365.08,4381.98,4392.2,4336.24,195380.0,-0.005699999999999999
2018-01-26,4381.3,4352.22,4403.34,4351.49,177230.0,0.0037
2018-01-29,4302.02,4387.06,4395.91,4287.11,191100.0,-0.0181
2018-01-30,4256.1,4286.68,4308.51,4251.57,139040.0,-0.010700000000000001
2018-01-31,4275.9,4234.11,4287.86,4232.77,145210.0,0.004699999999999999
2018-02-01,4245.9,4276.34,4287.39,4214.29,190000.0,-0.006999999999999999
2018-02-02,4271.23,4213.94,4271.76,4181.78,146070.0,0.006
2018-02-05,4274.15,4204.46,4274.15,4200.14,161350.0,0.0007000000000000001
2018-02-06,4148.89,4182.33,4211.52,4131.56,214910.0,-0.029300000000000003
2018-02-07,4050.5,4205.74,4212.57,4048.42,203130.0,-0.023700000000000002
2018-02-08,4012.05,4022.88,4071.67,3974.68,159270.0,-0.0095
2018-02-09,3840.65,3896.17,3911.29,3759.15,206350.0,-0.042699999999999995
2018-02-12,3890.1,3846.27,3907.84,3828.07,116180.0,0.0129
2018-02-13,3935.63,3925.6,3986.98,3925.6,112570.0,0.011699999999999999
2018-02-14,3966.96,3945.09,3971.4,3923.13,71080.0,0.008
2018-02-22,4052.73,4020.97,4058.79,4009.92,105810.0,0.0216
2018-02-23,4071.09,4061.75,4085.2,4035.23,99460.0,0.0045000000000000005
2018-02-26,4118.42,4093.4,4128.74,4048.98,137880.0,0.0116
2018-02-27,4058.98,4120.87,4120.87,4051.81,125930.0,-0.0144
2018-02-28,4023.64,4016.79,4051.71,3991.71,109340.0,-0.0087
2018-03-01,4049.09,3994.87,4061.03,3986.89,110200.0,0.0063
2018-03-02,4016.46,4014.95,4044.42,4006.94,96170.0,-0.008100000000000001
2018-03-05,4018.1,4021.66,4042.83,3995.87,87950.0,0.0004
2018-03-06,4066.56,4034.99,4067.55,3998.93,138760.0,0.0121
2018-03-07,4036.65,4063.5,4089.7,4027.94,106950.0,-0.0074
2018-03-08,4077.6,4038.95,4078.23,4029.71,91160.0,0.0101
2018-03-09,4108.87,4088.07,4110.67,4076.45,113700.0,0.0077
2018-03-12,4127.67,4130.71,4139.53,4112.77,140910.0,0.0046
2018-03-13,4091.25,4124.33,4130.28,4087.56,111770.0,-0.0088
2018-03-14,4073.34,4076.06,4089.09,4066.49,99010.0,-0.0044
2018-03-15,4096.16,4058.71,4098.99,4058.71,88160.0,0.005600000000000001
2018-03-16,4056.42,4096.89,4110.05,4055.82,84900.0,-0.0097
2018-03-19,4074.25,4054.62,4074.52,4033.52,81500.0,0.0044
2018-03-20,4077.7,4045.74,4080.19,4040.31,80610.0,0.0008
2018-03-21,4061.05,4097.02,4110.12,4046.24,97610.0,-0.0040999999999999995
2018-03-22,4020.35,4062.07,4072.38,4003.72,89100.0,-0.01
2018-03-23,3904.94,3896.74,3928.51,3834.94,180080.0,-0.0287
2018-03-26,3879.89,3862.69,3883.9,3829.92,115140.0,-0.0064
2018-03-27,3913.27,3927.49,3936.78,3881.87,113700.0,0.0086
2018-03-28,3842.72,3865.05,3907.28,3835.88,101500.0,-0.018000000000000002
2018-03-29,3894.05,3854.59,3913.96,3794.26,116630.0,0.0134
2018-03-30,3898.5,3893.75,3915.35,3879.21,97510.0,0.0011
2018-04-02,3886.92,3897.01,3937.02,3882.89,111240.0,-0.003
2018-04-03,3862.48,3850.15,3878.15,3839.93,95140.0,-0.0063
2018-04-04,3854.86,3873.63,3898.61,3852.5,88730.0,-0.002
2018-04-09,3852.93,3851.95,3870.67,3827.41,84110.0,-0.0005
2018-04-10,3927.17,3860.72,3927.42,3851.8,106170.0,0.019299999999999998
2018-04-11,3938.34,3934.17,3958.71,3924.96,111930.0,0.0028000000000000004
2018-04-12,3898.64,3935.67,3937.78,3896.18,82700.0,-0.0101
2018-04-13,3871.14,3920.74,3929.95,3866.19,71540.0,-0.0070999999999999995
2018-04-16,3808.86,3862.47,3869.16,3789.61,99220.0,-0.0161
2018-04-17,3748.64,3812.87,3822.63,3745.44,90610.0,-0.0158
2018-04-18,3766.28,3785.31,3789.66,3708.11,106680.0,0.004699999999999999
2018-04-19,3811.84,3774.78,3824.03,3767.8,99050.0,0.0121
2018-04-20,3760.85,3801.21,3815.44,3750.1,99280.0,-0.0134
2018-04-23,3766.33,3754.69,3787.4,3735.18,90360.0,0.0015
2018-04-24,3843.49,3769.88,3854.43,3769.88,114220.0,0.020499999999999997
2018-04-25,3828.7,3824.59,3838.69,3817.03,78170.0,-0.0038
2018-04-26,3755.49,3823.39,3828.71,3744.89,87150.0,-0.0191
2018-04-27,3756.88,3771.04,3776.98,3714.64,89530.0,0.0004
2018-05-02,3763.65,3769.93,3787.3,3744.55,83300.0,0.0018
2018-05-03,3793.0,3756.17,3797.53,3732.37,93960.0,0.0078000000000000005
