date,close,open,high,low,volume,return
2018-01-02,6511.34,6431.59,6513.02,6417.75,149670000.0,0.018000000000000002
2018-01-03,6575.8,6520.03,6579.25,6519.26,170110000.0,0.009899999999999999
2018-01-04,6584.58,6595.75,6603.17,6576.92,153920000.0,0.0013
2018-01-05,6653.29,6613.12,6654.98,6605.03,152650000.0,0.0104
2018-01-08,6676.63,6651.68,6680.32,6649.2,150380000.0,0.0034999999999999996
2018-01-09,6677.94,6692.87,6696.12,6658.27,146930000.0,0.0002
2018-01-10,6662.66,6640.66,6663.51,6619.35,153380000.0,-0.0023
2018-01-11,6708.49,6675.69,6708.49,6664.74,136260000.0,0.0069
2018-01-12,6758.54,6699.32,6763.98,6695.52,160680000.0,0.0075
2018-01-16,6737.14,6807.85,6835.79,6719.11,196080000.0,-0.0032
2018-01-17,6810.28,6767.85,6820.04,6738.45,178230000.0,0.0109
2018-01-18,6811.38,6804.59,6826.79,6784.72,152950000.0,0.0002
2018-01-19,6834.33,6829.04,6843.24,6801.59,193110000.0,0.0034000000000000002
2018-01-22,6906.28,6829.55,6906.28,6822.85,169010000.0,0.0105
2018-01-23,6963.46,6928.27,6969.4,6926.37,155940000.0,0.0083
2018-01-24,6919.35,6975.38,6992.91,6880.68,190690000.0,-0.0063
2018-01-25,6916.3,6965.01,6967.6,6894.84,158080000.0,-0.0004
2018-01-26,7022.97,6956.66,7022.97,6941.48,199020000.0,0.0154
2018-01-29,6988.31,7000.68,7020.64,6974.7,178730000.0,-0.0049
2018-01-30,6930.73,6910.39,6958.79,6894.63,179240000.0,-0.008199999999999999
2018-01-31,6949.99,6972.81,6983.61,6915.48,223750000.0,0.0028000000000000004
2018-02-01,6901.5,6910.57,6970.77,6879.02,210600000.0,-0.006999999999999999
2018-02-02,6760.29,6866.38,6889.07,6756.54,228270000.0,-0.020499999999999997
2018-02-05,6495.92,6687.47,6807.96,6495.39,300130000.0,-0.0391
2018-02-06,6665.98,6378.6,6673.41,6370.48,320310000.0,0.0262
2018-02-07,6582.02,6632.98,6716.25,6581.38,226580000.0,-0.0126
2018-02-08,6306.1,6595.81,6606.05,6304.18,277350000.0,-0.04190000000000001
2018-02-09,6412.68,6395.16,6453.43,6164.43,318490000.0,0.0169
2018-02-12,6523.85,6477.04,6565.28,6424.3,228350000.0,0.0173
2018-02-13,6553.86,6482.77,6567.62,6478.41,153730000.0,0.0046
2018-02-14,6675.03,6523.26,6684.15,6520.39,197230000.0,0.018500000000000003
2018-02-15,6794.92,6734.34,6795.92,6665.92,187210000.0,0.018000000000000002
2018-02-16,6770.66,6778.28,6840.6,6758.51,190510000.0,-0.0036
2018-02-20,6779.69,6742.15,6838.0,6740.48,170310000.0,0.0013
2018-02-21,6759.26,6808.6,6879.47,6759.22,167240000.0,-0.003
2018-02-22,6761.85,6793.08,6826.01,6744.05,146060000.0,0.0004
2018-02-23,6896.6,6816.43,6897.53,6789.02,154360000.0,0.0199
2018-02-26,6989.1,6933.82,6989.36,6927.46,156070000.0,0.0134
2018-02-27,6900.35,6984.83,7003.14,6900.35,186400000.0,-0.0127
2018-02-28,6854.42,6945.2,6964.15,6854.42,212330000.0,-0.0067
2018-03-01,6750.54,6862.94,6892.38,6687.44,226840000.0,-0.0152
