date,close,open,high,low,volume,return
2018-01-02,6332.23,6263.15,6332.61,6258.16,73030.0,0.013000000000000001
2018-01-03,6388.25,6331.72,6391.98,6324.26,83940.0,0.0088
2018-01-04,6417.53,6380.27,6418.26,6375.51,80540.0,0.0046
2018-01-05,6417.25,6414.77,6435.85,6397.29,81580.0,0.0
2018-01-08,6446.18,6413.87,6446.79,6393.88,89480.0,0.0045000000000000005
2018-01-09,6445.75,6441.68,6449.03,6425.03,75570.0,-0.0001
2018-01-10,6405.94,6443.46,6444.31,6361.09,80970.0,-0.0062
2018-01-11,6425.94,6391.9,6432.44,6371.54,78770.0,0.0031
2018-01-12,6399.37,6418.83,6435.19,6387.78,77840.0,-0.0040999999999999995
2018-01-15,6253.38,6391.37,6392.52,6236.56,91470.0,-0.022799999999999997
2018-01-16,6301.13,6245.15,6301.4,6245.11,79170.0,0.0076
2018-01-17,6267.46,6288.02,6288.14,6202.32,84200.0,-0.0053
2018-01-18,6286.8,6253.06,6295.78,6253.06,65019.99999999999,0.0031
2018-01-19,6272.38,6284.6,6317.0,6261.24,71810.0,-0.0023
2018-01-22,6347.64,6264.76,6347.81,6248.31,72760.0,0.012
2018-01-23,6355.0,6342.69,6362.58,6330.46,66750.0,0.0012
2018-01-24,6394.3,6353.3,6395.57,6322.92,77350.0,0.0062
2018-01-25,6382.72,6386.8,6424.35,6380.84,81080.0,-0.0018
2018-01-26,6383.63,6374.1,6401.48,6368.9,69010.0,0.0001
2018-01-29,6309.88,6385.04,6398.97,6295.9,84030.0,-0.0116
2018-01-30,6313.44,6301.35,6330.54,6300.46,70700.0,0.0006
2018-01-31,6189.34,6277.74,6277.74,6170.16,80730.0,-0.0197
2018-02-01,5984.74,6181.0,6196.71,5984.28,94970.0,-0.0331
2018-02-02,6004.85,5937.62,6006.47,5844.46,83750.0,0.0034000000000000002
2018-02-05,5998.22,5927.74,6016.16,5907.47,74050.0,-0.0011
2018-02-06,5704.26,5886.35,5920.74,5702.85,92340.0,-0.049
2018-02-07,5711.33,5805.97,5831.81,5630.09,85240.0,0.0012
2018-02-08,5766.48,5695.67,5786.79,5691.29,62450.0,0.0097
2018-02-09,5554.9,5631.96,5663.1,5490.62,84320.0,-0.036699999999999997
2018-02-12,5699.1,5581.71,5714.82,5581.71,57250.0,0.026000000000000002
2018-02-13,5736.95,5731.15,5789.7,5727.75,57210.0,0.0066
2018-02-14,5754.83,5741.88,5761.77,5712.88,41400.0,0.0031
2018-02-22,5875.73,5800.95,5875.76,5797.91,59640.0,0.021
2018-02-23,5897.68,5877.72,5902.94,5848.52,62150.0,0.0037
2018-02-26,6029.68,5926.42,6032.14,5917.62,83070.0,0.022400000000000003
2018-02-27,6010.56,6025.88,6042.39,6000.88,77020.0,-0.0032
2018-02-28,6023.68,5967.9,6044.07,5939.64,70990.0,0.0022
2018-03-01,6090.22,5987.36,6091.0,5974.12,73100.0,0.011000000000000001
2018-03-02,6056.34,6053.48,6094.8,6044.26,73440.0,-0.005600000000000001
2018-03-05,6064.1,6066.68,6080.97,6031.98,67330.0,0.0013
2018-03-06,6145.58,6077.37,6145.85,6070.72,83500.0,0.0134
2018-03-07,6086.49,6133.95,6149.1,6082.58,74590.0,-0.0096
2018-03-08,6131.51,6073.67,6131.7,6073.67,67890.0,0.0074
2018-03-09,6206.98,6131.12,6211.28,6131.01,85930.0,0.0123
2018-03-12,6295.78,6230.81,6295.78,6230.39,97660.0,0.0143
2018-03-13,6254.15,6285.8,6297.43,6251.4,84810.0,-0.0066
2018-03-14,6189.32,6234.24,6253.17,6185.18,75470.0,-0.0104
2018-03-15,6180.11,6172.85,6203.24,6117.6,72170.0,-0.0015
2018-03-16,6146.31,6181.38,6205.87,6146.31,65069.99999999999,-0.0055000000000000005
2018-03-19,6153.83,6142.52,6186.61,6118.3,67230.0,0.0012
2018-03-20,6173.7,6109.6,6176.5,6091.5,67480.0,0.0032
2018-03-21,6129.2,6182.11,6224.56,6125.14,79490.0,-0.0072
2018-03-22,6101.23,6130.05,6161.37,6074.66,67410.0,-0.0046
2018-03-23,5787.15,5913.37,5978.42,5722.77,121370.0,-0.051500000000000004
2018-03-26,5902.96,5715.35,5902.96,5675.37,84770.0,0.02
2018-03-27,6034.77,5956.24,6043.05,5956.24,89200.0,0.0223
2018-03-28,5973.34,5962.56,6036.16,5949.1,75300.0,-0.0102
2018-03-29,6034.86,5993.97,6040.86,5967.63,68810.0,0.0103
2018-03-30,6114.74,6052.18,6115.27,6051.02,73050.0,0.0132
