kdcode,dt,close,open,high,low,prev_close,volume
000001.SZ,2018-01-02,13.7,13.35,13.93,13.32,13.3,208159255.0
000002.SZ,2018-01-02,32.56,31.45,32.99,31.45,31.06,68343350.0
000069.SZ,2018-01-02,8.9,8.5,9.15,8.5,8.49,82621628.0
000157.SZ,2018-01-02,4.55,4.45,4.59,4.45,4.47,66321858.0
000166.SZ,2018-01-02,5.38,5.37,5.4,5.33,5.37,17664878.0
000338.SZ,2018-01-02,8.64,8.35,8.66,8.34,8.34,97247137.0
000568.SZ,2018-01-02,65.78,66.5,66.79,65.1,66.0,12305989.0
000625.SZ,2018-01-02,12.73,12.61,12.78,12.55,12.6,16190738.0
000725.SZ,2018-01-02,5.73,5.83,5.85,5.66,5.79,808403577.0
000768.SZ,2018-01-02,17.09,16.89,17.14,16.83,16.89,10175406.0
000776.SZ,2018-01-02,17.11,16.72,17.13,16.68,16.68,39453212.0
000858.SZ,2018-01-02,80.58,80.2,81.0,78.33,79.88,31525233.0
000876.SZ,2018-01-02,7.54,7.47,7.56,7.44,7.45,20771438.0
000963.SZ,2018-01-02,54.15,53.87,54.7,53.36,53.88,5529716.0
002007.SZ,2018-01-02,28.1,26.88,28.21,26.88,26.88,11544536.0
002027.SZ,2018-01-02,14.08,14.11,14.51,13.98,14.08,55079643.0
002230.SZ,2018-01-02,60.57,60.0,60.84,58.9,59.14,33190393.0
002241.SZ,2018-01-02,17.32,17.43,17.54,17.13,17.35,28846694.0
002304.SZ,2018-01-02,116.0,116.2,116.42,114.25,115.0,3600670.0
002460.SZ,2018-01-02,71.1,71.76,71.99,70.18,71.75,21238221.0
002475.SZ,2018-01-02,23.05,23.44,23.51,22.6,23.44,22820910.0
002555.SZ,2018-01-02,20.19,20.57,20.85,20.09,20.54,9321966.0
002594.SZ,2018-01-02,65.85,65.28,66.55,64.96,65.05,12714077.0
002714.SZ,2018-01-02,52.93,53.0,53.23,51.66,52.86,4814233.0
002736.SZ,2018-01-02,10.93,10.87,10.99,10.75,10.85,7475277.0
300033.SZ,2018-01-02,49.31,49.98,50.19,49.03,49.98,4471440.0
300059.SZ,2018-01-02,13.0,13.01,13.13,12.86,12.95,50837814.0
300122.SZ,2018-01-02,28.69,28.19,28.84,28.17,28.07,4461901.0
600000.SH,2018-01-02,12.72,12.61,12.77,12.6,12.59,31323053.0
600011.SH,2018-01-02,6.27,6.18,6.3,6.16,6.17,9818135.0
600015.SH,2018-01-02,9.11,9.02,9.13,9.01,9.0,26994220.0
600016.SH,2018-01-02,8.52,8.43,8.57,8.41,8.39,76508514.0
600018.SH,2018-01-02,6.76,6.69,6.83,6.66,6.65,48888036.0
600019.SH,2018-01-02,8.96,8.69,8.99,8.66,8.64,109164698.0
600028.SH,2018-01-02,6.37,6.16,6.47,6.16,6.13,367565292.0
600029.SH,2018-01-02,11.4,11.89,11.9,11.18,11.92,178480580.0
600031.SH,2018-01-02,9.48,9.16,9.68,9.16,9.07,228453396.0
600036.SH,2018-01-02,29.62,29.02,30.06,29.02,29.02,67591307.0
600048.SH,2018-01-02,14.62,14.3,15.08,14.3,14.15,183889092.0
600050.SH,2018-01-02,6.44,6.35,6.45,6.34,6.33,155838868.0
600061.SH,2018-01-02,13.29,13.19,13.32,13.16,13.18,4596390.0
600085.SH,2018-01-02,32.47,32.25,32.53,32.1,32.24,5037316.0
600104.SH,2018-01-02,31.77,31.72,31.9,31.53,32.04,22611507.0
600111.SH,2018-01-02,14.81,14.6,14.99,14.4,14.59,101723978.0
600115.SH,2018-01-02,8.04,8.18,8.25,7.88,8.21,116362518.0
600196.SH,2018-01-02,43.74,44.66,45.17,43.35,44.5,24238073.0
600276.SH,2018-01-02,68.67,69.42,69.85,68.2,68.98,9392546.0
600362.SH,2018-01-02,20.54,20.25,20.71,20.1,20.17,62784077.0
600406.SH,2018-01-02,18.35,18.31,18.44,18.08,18.28,25231164.0
600436.SH,2018-01-02,65.53,63.05,65.69,63.05,63.2,5689125.0
600519.SH,2018-01-02,703.85,700.0,710.16,689.89,697.49,4961248.0
600570.SH,2018-01-02,47.58,46.46,47.83,46.2,46.4,11265265.0
600585.SH,2018-01-02,31.96,29.8,32.1,29.53,29.33,106414567.0
600588.SH,2018-01-02,21.39,21.31,21.64,21.16,21.15,6130901.0
600660.SH,2018-01-02,29.89,29.1,29.9,29.1,29.0,15333788.0
600741.SH,2018-01-02,28.33,29.69,29.7,27.6,29.69,34631735.0
600795.SH,2018-01-02,3.14,3.12,3.15,3.11,3.12,41038277.0
600837.SH,2018-01-02,13.08,12.89,13.1,12.89,12.87,21808339.0
600886.SH,2018-01-02,7.43,7.33,7.44,7.32,7.34,34174876.0
600887.SH,2018-01-02,31.95,32.41,32.54,31.38,32.19,61011477.0
600926.SH,2018-01-02,11.65,11.62,11.79,11.54,11.53,18414408.0
601006.SH,2018-01-02,9.13,9.15,9.24,9.07,9.07,89955743.0
601009.SH,2018-01-02,7.8,7.76,7.85,7.73,7.74,54139772.0
601021.SH,2018-01-02,38.19,37.25,38.22,37.1,37.27,3282504.0
601088.SH,2018-01-02,23.81,23.3,23.86,23.18,23.17,37891003.0
601155.SH,2018-01-02,29.02,29.55,30.66,28.92,29.3,36416515.0
601166.SH,2018-01-02,17.24,17.05,17.29,17.01,16.99,97602162.0
601169.SH,2018-01-02,7.18,7.13,7.23,7.12,7.15,49500856.0
601186.SH,2018-01-02,11.41,11.16,11.47,11.16,11.14,31960970.0
601211.SH,2018-01-02,18.73,18.53,18.75,18.47,18.52,29548541.0
601225.SH,2018-01-02,8.61,8.28,8.65,8.23,8.16,200203313.0
601229.SH,2018-01-02,14.39,14.23,14.41,14.22,14.18,22555679.0
601288.SH,2018-01-02,3.85,3.84,3.94,3.77,3.83,798519102.0
601318.SH,2018-01-02,72.59,70.21,72.8,70.18,69.98,123616317.0
601328.SH,2018-01-02,6.28,6.21,6.35,6.2,6.21,132531238.0
601336.SH,2018-01-02,70.9,70.21,71.82,68.97,70.2,14036384.0
601398.SH,2018-01-02,6.18,6.19,6.39,6.11,6.2,537466207.0
601601.SH,2018-01-02,41.91,41.58,42.65,41.15,41.42,30557339.0
601618.SH,2018-01-02,4.86,4.84,4.87,4.81,4.84,16339875.0
601628.SH,2018-01-02,30.49,30.52,30.84,30.27,30.45,32944589.0
601633.SH,2018-01-02,12.25,11.6,12.32,11.52,11.49,26588018.0
601668.SH,2018-01-02,9.21,9.01,9.27,9.0,9.02,130680749.0
601669.SH,2018-01-02,7.35,7.22,7.4,7.22,7.22,16982791.0
601688.SH,2018-01-02,18.02,17.31,18.15,17.3,17.26,70631678.0
601766.SH,2018-01-02,12.75,12.37,12.85,12.33,12.11,258083714.0
601788.SH,2018-01-02,13.62,13.45,13.65,13.4,13.43,11466290.0
601800.SH,2018-01-02,13.16,12.89,13.18,12.84,12.8,13809775.0
601818.SH,2018-01-02,4.08,4.05,4.12,4.04,4.05,131468340.0
601857.SH,2018-01-02,8.25,8.09,8.33,8.08,8.09,61396100.0
601877.SH,2018-01-02,26.59,26.1,26.66,25.82,26.15,9650001.0
601878.SH,2018-01-02,16.65,16.77,16.87,16.56,16.62,16097262.0
601881.SH,2018-01-02,10.6,10.5,10.71,10.49,10.51,16794141.0
601888.SH,2018-01-02,43.05,43.75,44.0,42.82,43.39,6798608.0
601901.SH,2018-01-02,6.99,6.9,7.01,6.9,6.89,17827047.0
601919.SH,2018-01-02,6.9,6.83,6.93,6.77,6.77,49180700.0
601939.SH,2018-01-02,7.79,7.69,8.0,7.64,7.68,218944346.0
601985.SH,2018-01-02,7.39,7.35,7.41,7.35,7.35,20662414.0
601988.SH,2018-01-02,3.98,3.98,4.05,3.93,3.97,414507864.0
601989.SH,2018-01-02,6.04,6.0,6.11,6.0,6.03,92242963.0
601998.SH,2018-01-02,6.32,6.2,6.34,6.18,6.2,41377391.0
603833.SH,2018-01-02,121.5,119.5,122.02,118.0,118.05,625362.0
603993.SH,2018-01-02,6.94,6.9,6.99,6.82,6.88,162983912.0
